Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0190,/TMA,Kessler,96.985,Pryor,2.917,Magazine,0.098,Porter,0,Sugar_Loaf,0
QAc-G-0191,/TMA,Kessler,96.985,Pryor,2.917,Magazine,0.098,Porter,0,Sugar_Loaf,0
QAc-G-0192,/TMA,Pryor,93.687,Kessler,5.998,Magazine,0.314,Porter,0,Sugar_Loaf,0
QAc-G-0193,/TMA,Kessler,99.994,Pryor,0.005,Magazine,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0194,/TMA,Kessler,99.955,Pryor,0.045,Magazine,0,Porter,0,Sugar_Loaf,0
QAc-G-0195,/TMA,Kessler,95.981,Magazine,4.019,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0196,/TMA,Magazine,99.797,Kessler,0.203,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0197,/TMA,Kessler,92.569,Magazine,7.34,Pryor,0.091,Porter,0,Sugar_Loaf,0
QAc-G-0198,/TMA,Kessler,96.753,Magazine,3.113,Pryor,0.133,Porter,0,Sugar_Loaf,0
QAc-G-0199,/TMA,Kessler,99.978,Pryor,0.011,Magazine,0.011,Porter,0,Sugar_Loaf,0
